Punk_id,Rarity,Genre,Skin,Traits,Owned_by
9058,654,Female,Albino,"['Earring', 'Pigtails']",0xdcb485
9059,5080,Male,Light,"['BigShades', 'FrontBeardDark', 'Headband']",0x904e43
9060,2700,Male,Dark,"['Cigarette', 'ClownHairGreen']",0x05467e
9061,6659,Male,Dark,"['Earring', 'HornedRimGlasses', 'MohawkDark', 'Mustache']",0xE29E61
9062,4402,Male,Mid,['Handlebars'],0x1919DB
9063,303,Female,Light,"['Mole', 'OrangeSide']",0x30FE9e
9064,407,Female,Light,"['Earring', 'WeldingGoggles', 'WildWhiteHair', 'HiddenEarring']",0xb4Bb41
9065,5169,Male,Mid,"['Bandana', 'Cigarette', 'FrontBeardDark', 'Mole']",0x24e267
9066,2810,Female,Dark,"['BigShades', 'BlackLipstick', 'Cigarette', 'StraightHair']",0x6611fE
9067,2820,Female,Dark,"['BigShades', 'Cigarette', 'StraightHair']",0x6611fE
9068,3646,Female,Dark,"['Earring', 'Pipe', 'PurpleLipstick', 'TassleHat', 'HiddenEarring']",0xC5FaF1
9069,3180,Male,Light,"['Cigarette', 'NormalBeardBlack', 'PurpleHair']",0x675eBC
9070,5549,Male,Dark,"['Cigarette', 'Handlebars', 'KnittedCap']",0x968fA0
9071,2391,Female,Light,"['Cigarette', 'HalfShaved', 'HotLipstick']",0xFe2F27
9072,2517,Male,Light,"['Chinstrap', 'ClownHairGreen']",0xbCE0C1
9073,9388,Female,Light,"['BlackLipstick', 'FrumpyHair', 'HornedRimGlasses']",0x2978F0
9074,3638,Female,Albino,"['EyeMask', 'TassleHat']",0x6611fE
9075,9086,Male,Dark,"['EyePatch', 'MohawkThin']",0x04C36d
9076,5901,Male,Dark,"['KnittedCap', 'ShadowBeard', 'Vape']",0xB5d13a
9077,4172,Male,Albino,"['ClownNose', 'Earring', 'Mohawk']",0x2478C4
9078,2216,Female,Light,"['ClownEyesBlue', 'Earring', 'HalfShaved', 'HiddenEarring']",0x6611fE
9079,1440,Male,Light,"['CowboyHat', 'EyePatch', 'ShadowBeard']",0x696ed7
9080,4264,Male,Mid,"['BigShades', 'FrumpyHair', 'Mustache', 'Smile']",0x6611fE
9081,652,Female,Dark,"['Cigarette', 'Earring', 'Pigtails']",0x0B88fd
9082,9891,Male,Mid,"['Bandana', 'BigShades', 'ShadowBeard']",0xfD2200
9083,4228,Male,Light,"['Hoodie', 'HornedRimGlasses', 'Smile']",0x9EEcB7
9084,1052,Male,Mid,"['Earring', 'Mohawk', 'Muttonchops', 'RosyCheeks']",0x0521a0
9085,5999,Male,Mid,"['Cap', 'FrontBeard']",0x0EcEb7
9086,273,Female,Light,"['HornedRimGlasses', 'OrangeSide', 'Vape']",0x31a5Ff
9087,4038,Male,Dark,"['ClassicShades', 'PoliceCap']",0x24e267
9088,8685,Male,Dark,"['Earring', 'Headband', 'Mole']",0x269616
9089,4598,Male,Light,"['CapForward', 'Frown']",0x1e20a7
9090,4999,Male,Light,"['Earring', 'FrontBeardDark', 'Frown', 'ShavedHead', 'HiddenFrown']",0xaF297d
9091,9755,Female,Light,"['Bandana', 'EyePatch']",0x6611fE
9092,1780,Male,Albino,"['BigBeard', 'EyePatch', 'Hoodie']",0x6611fE
9093,3791,Male,Light,"['Chinstrap', 'Earring', 'EyePatch', 'Fedora']",0x7AeD31
9094,7103,Male,Mid,"['Earring', 'EyeMask', 'PeakSpike', 'ShadowBeard']",0xBcE3BD
9095,5406,Female,Light,"['FrumpyHair', 'PurpleEyeShadow']",0x83506d
9096,2910,Male,Light,"['BigShades', 'Goat', 'SilverChain', 'WildHair']",0x6611fE
9097,3297,Male,Light,"['Earring', 'NerdGlasses', 'Smile', 'Vape', 'WildHair']",0x449c69
9098,2620,Male,Albino,"['ClownHairGreen', 'RegularShades']",0x6611fE
9099,6640,Male,Light,"['Cigarette', 'CrazyHair', 'Earring', 'Mustache']",0xB0dAfc
9100,4870,Male,Dark,"['EyePatch', 'Hoodie', 'NormalBeardBlack']",0x0B88fd
9101,9938,Male,Mid,"['Bandana', 'Cigarette', 'Earring', 'NerdGlasses']",0xE0719a
9102,2568,Female,Light,"['ClownEyesGreen', 'ClownHairGreen', 'PurpleLipstick']",0xb70c1a
9103,6689,Male,Mid,"['Mohawk', 'Mustache']",0x1fdf89
9104,4808,Male,Light,"['Handlebars', 'Hoodie', 'VR']",0x0d2983
9105,2875,Female,Light,"['ClownNose', 'MohawkDark', 'SilverChain']",0xa25803
